# Time-averaged data for fix myat2
# TimeStep Number-of-rows
# Row c_myRDF[1] c_myRDF[2] c_myRDF[3] c_myRDF[4] c_myRDF[5] c_myRDF[6] c_myRDF[7]
50000 200
182 13.6125 6.92347 3.14007 3.21396 52.5254 5.47086 3.65018
183 13.6875 6.96467 3.18311 3.18501 53.0878 5.44603 3.6848
184 13.7625 6.28654 3.22239 3.11935 53.6447 5.38143 3.71938
185 13.8375 5.96571 3.26007 3.09867 54.2039 5.57124 3.75558
186 13.9125 5.80802 3.29715 3.08793 54.7672 5.30725 3.79043
187 13.9875 5.24448 3.331 2.9914 55.3188 5.0716 3.8241
188 14.0625 4.89274 3.36292 3.02072 55.8818 5.19256 3.85894
189 14.1375 5.48137 3.39906 3.00889 56.4486 4.8386 3.89175
190 14.2125 5.68631 3.43694 2.99538 57.0188 4.47963 3.92245
191 14.2875 5.82065 3.47614 2.99589 57.5952 4.31742 3.95235
192 14.3625 6.05394 3.51733 2.9789 58.1743 3.97975 3.98021
193 14.4375 6.19321 3.55992 2.9568 58.7552 3.48191 4.00483
194 14.5125 7.46678 3.61179 2.96819 59.3444 3.47323 4.02965
195 14.5875 6.90741 3.66028 2.95721 59.9375 3.00862 4.05138
196 14.6625 6.66263 3.70753 3.01385 60.5482 2.64472 4.07067
197 14.7375 6.60662 3.75486 2.99393 61.161 2.64425 4.09015
198 14.8125 6.63584 3.80289 2.9867 61.7786 2.25467 4.10694
199 14.8875 6.05053 3.84712 2.93311 62.3913 2.19599 4.12345
200 14.9625 5.73049 3.88944 2.90997 63.0053 2.2426 4.14049
100000 200
1 0.0375 0 0 0 0 0 0
2 0.1125 0 0 0 0 0 0
3 0.1875 0 0 0 0 0 0
4 0.2625 0 0 0 0 0 0
5 0.3375 0 0 0 0 0 0
6 0.4125 0 0 0 0 0 0
7 0.4875 0 0 0 0 0 0
8 0.5625 0 0 0 0 0 0
9 0.6375 0 0 0 0 0 0
10 0.7125 0 0 0 0 0 0
11 0.7875 0 0 0 0 0 0
12 0.8625 0 0 0 0 0 0
13 0.9375 0 0 0 0 0 0
14 1.0125 0 0 0 0 0 0
15 1.0875 0 0 0 0 0 0
16 1.1625 0 0 0 0 0 0
17 1.2375 0 0 0 0 0 0
18 1.3125 0 0 0 0 0 0
19 1.3875 0 0 0 0 0 0
20 1.4625 0 0 0 0 0 0
21 1.5375 0 0 0 0 0 0
22 1.6125 0 0 0 0 0 0
23 1.6875 0 0 0 0 0 0
24 1.7625 0 0 0 0 0 0
25 1.8375 0 0 0 0 0 0
26 1.9125 0 0 0 0 0 0
27 1.9875 0 0 0 0 0 0
28 2.0625 0 0 0 0 0 0
29 2.1375 0 0 0 0 0 0
30 2.2125 0 0 0 0 0 0
31 2.2875 0 0 0 0 0 0
32 2.3625 0 0 0 0 0 0
33 2.4375 0 0 0 0 0 0
34 2.5125 0 0 0 0 0 0
35 2.5875 0 0 0 0 0 0
36 2.6625 0 0 0 0 0 0
37 2.7375 0 0 0 0 0 0
38 2.8125 0 0 0 0 0 0
39 2.8875 0 0 0 0 0 0
40 2.9625 0 0 0 0 0 0
41 3.0375 0 0 0.00718711 6.25e-05 0 0
42 3.1125 0 0 0.0608438 0.000618056 0.0422527 1.38889e-05
43 3.1875 0 0 0.280645 0.00330556 0.584173 0.000215278
44 3.2625 0 0 1.13663 0.0147083 5.94158 0.00236111
45 3.3375 0 0 3.19288 0.0482292 17.2164 0.00886806
46 3.4125 0 0 7.29892 0.12834 29.8603 0.0206667
47 3.4875 0 0 12.6434 0.273278 50.5834 0.0415417
48 3.5625 0 0 19.045 0.50109 81.2449 0.0765278
49 3.6375 0.190923 8.33333e-05 25.8605 0.82359 117.559 0.129306
50 3.7125 0.672053 0.000388889 31.6807 1.23513 167.875 0.207813
51 3.7875 3.14046 0.001875 36.0899 1.72308 248.852 0.328938
52 3.8625 10.4983 0.00704167 39.1696 2.27385 266.129 0.463653
53 3.9375 20.0144 0.0172778 39.5579 2.8519 126.48 0.530188
54 4.0125 25.1571 0.0306389 35.3453 3.38824 41.7215 0.552979
55 4.0875 18.3204 0.0407361 27.4575 3.82062 22.491 0.565729
56 4.1625 14.41 0.0489722 19.3877 4.13722 18.6284 0.576681
57 4.2375 12.4975 0.056375 15.003 4.39113 16.003 0.586431
58 4.3125 9.71217 0.0623333 13.4841 4.62749 17.4541 0.597444
59 4.3875 8.85806 0.0679583 12.8196 4.86008 20.1266 0.61059
60 4.4625 9.07024 0.0739167 12.5237 5.09513 26.0438 0.628187
61 4.5375 8.97738 0.0800139 12.5125 5.33794 27.5062 0.647403
62 4.6125 9.47941 0.0866667 12.6173 5.59094 28.745 0.668153
63 4.6875 11.6312 0.0950972 12.6722 5.85337 28.9224 0.689715
64 4.7625 11.8061 0.103931 12.5416 6.12147 29.4714 0.712396
65 4.8375 12.3065 0.113431 12.8299 6.40444 29.2381 0.735611
66 4.9125 13.3991 0.124097 13.0487 6.70124 32.8811 0.762535
67 4.9875 13.8285 0.135444 13.5967 7.02001 37.5769 0.79425
68 5.0625 15.7054 0.148722 13.9038 7.35585 39.3787 0.828493
69 5.1375 15.2502 0.162 13.6711 7.69594 39.2454 0.863639
70 5.2125 12.6295 0.173319 13.2876 8.0362 40.8511 0.901299
71 5.2875 10.828 0.183306 12.7335 8.37173 39.8761 0.939125
72 5.3625 11.2886 0.194014 12.1705 8.70158 37.95 0.976153
73 5.4375 11.0506 0.204792 11.9049 9.03333 32.8954 1.00915
74 5.5125 11.2507 0.216069 11.7771 9.37062 28.8475 1.0389
75 5.5875 12.2993 0.228736 11.8506 9.71933 23.286 1.06356
76 5.6625 9.00803 0.238264 11.8786 10.0783 19.2901 1.08455
77 5.7375 8.96592 0.248 11.4204 10.4326 17.6451 1.10426
78 5.8125 8.31232 0.257264 11.1564 10.7879 15.9387 1.12253
79 5.8875 8.55132 0.267042 10.8829 11.1434 16.232 1.14162
80 5.9625 8.97708 0.277569 10.7207 11.5026 16.2004 1.16116
81 6.0375 11.8857 0.291861 10.6898 11.8699 14.9413 1.17964
82 6.1125 17.1965 0.313056 10.4899 12.2393 13.7169 1.19703
83 6.1875 19.7734 0.338028 10.1848 12.6068 11.7291 1.21226
84 6.2625 19.1416 0.362792 10.1782 12.983 9.91555 1.22546
85 6.3375 19.2888 0.388347 10.1136 13.3658 9.04526 1.23778
86 6.4125 21.5946 0.417639 9.92929 13.7506 8.55618 1.24972
87 6.4875 21.9585 0.448125 9.86823 14.1421 9.51689 1.26331
88 6.5625 20.648 0.477458 9.51462 14.5283 10.9592 1.27933
89 6.6375 18.7888 0.504764 9.28961 14.914 11.9255 1.29715
90 6.7125 18.1844 0.531792 8.98082 15.2954 13.4911 1.31778
91 6.7875 19.7953 0.561875 8.94066 15.6836 14.0343 1.33972
92 6.8625 23.6296 0.598583 9.01839 16.0839 15.7327 1.36485
93 6.9375 27.3468 0.642 9.09129 16.4963 15.4837 1.39014
94 7.0125 27.1161 0.685986 9.1 16.918 15.9284 1.41672
95 7.0875 25.3298 0.727958 9.16468 17.3519 15.9883 1.44397
96 7.1625 27.3218 0.774194 9.24018 17.7987 16.4811 1.47265
97 7.2375 23.8889 0.815472 9.30624 18.2581 16.8602 1.50262
98 7.3125 20.5746 0.851764 9.45213 18.7345 17.8443 1.53499
99 7.3875 18.4309 0.884944 9.32018 19.2139 15.8337 1.56431
100 7.4625 14.9397 0.912389 9.19915 19.6967 15.8295 1.59422
101 7.5375 13.3322 0.937375 9.0463 20.1811 15.3467 1.62381
102 7.6125 11.654 0.959653 9.08444 20.6773 15.8475 1.65497
103 7.6875 13.0165 0.985028 8.84297 21.1698 16.6342 1.68832
104 7.7625 13.989 1.01283 8.6657 21.6619 16.6472 1.72235
