# Time-averaged data for fix myat1
# TimeStep Number-of-rows
# Row c_myRDF[1] c_myRDF[2] c_myRDF[3] c_myRDF[4] c_myRDF[5] c_myRDF[6] c_myRDF[7] c_myRDF[8] c_myRDF[9] c_myRDF[10] c_myRDF[11]
50000 200
119 8.8875 4.37077 1.34394 2.65097 16.4287 2.55154 1.76885 1.43462 18.7288 0.742508 8.83945
120 8.9625 4.60356 1.38175 2.67499 16.7092 2.55061 1.79024 1.43832 19.327 0.746794 9.15007
121 9.0375 4.46885 1.41907 2.68241 16.9952 2.53044 1.81183 1.43307 19.9331 0.751997 9.4681
122 9.1125 4.14165 1.45424 2.653 17.2828 2.60788 1.83444 1.43752 20.5512 0.757769 9.79392
123 9.1875 4.38688 1.4921 2.65854 17.5757 2.45439 1.85608 1.3933 21.1601 0.76153 10.1268
124 9.2625 4.36837 1.53043 2.66515 17.8742 2.2689 1.87641 1.39747 21.7809 0.768717 10.4683
125 9.3375 4.48191 1.57039 2.65362 18.1762 2.32869 1.89761 1.3685 22.3988 0.77694 10.819
126 9.4125 4.52576 1.61139 2.67969 18.4861 2.45161 1.92029 1.3219 23.0052 0.785384 11.1793
127 9.4875 4.30849 1.65104 2.68815 18.802 2.57756 1.94452 1.29638 23.6094 0.794628 11.5497
128 9.5625 4.22112 1.69051 2.63638 19.1166 2.76745 1.97095 1.29634 24.2232 0.807945 11.9322
129 9.6375 3.99226 1.72843 2.65371 19.4384 2.85771 1.99867 1.28518 24.8413 0.822734 12.3279
130 9.7125 3.7613 1.76471 2.57372 19.7553 3.20605 2.03025 1.31785 25.485 0.837354 12.7369
131 9.7875 3.59966 1.79997 2.54846 20.074 3.26591 2.06292 1.30696 26.1333 0.846519 13.1568
132 9.8625 3.38802 1.83367 2.53504 20.3959 3.29539 2.0964 1.32283 26.7996 0.854128 13.587
133 9.9375 3.19885 1.86597 2.49696 20.7178 3.50643 2.13256 1.31963 27.4743 0.86251 14.028
134 10.0125 3.11452 1.8979 2.49304 21.044 3.37997 2.16794 1.32663 28.163 0.870155 14.4797
135 10.0875 2.723 1.92623 2.47693 21.373 3.474 2.20486 1.29028 28.8428 0.873217 14.9398
136 10.1625 2.74609 1.95523 2.47469 21.7067 3.30025 2.24045 1.33766 29.5582 0.876656 15.4086
137 10.2375 2.61366 1.98324 2.43735 22.0401 3.1155 2.27455 1.36234 30.2975 0.883469 15.8881
138 10.3125 2.43114 2.00968 2.45271 22.3806 2.9653 2.30748 1.403 31.0701 0.890146 16.3783
139 10.3875 2.33479 2.03544 2.45573 22.7265 2.85099 2.33961 1.47906 31.8964 0.896236 16.879
140 10.4625 2.48663 2.06327 2.43425 23.0743 2.8745 2.37247 1.52521 32.7609 0.900658 17.3895
141 10.5375 2.46237 2.09123 2.39533 23.4215 2.99677 2.40722 1.55295 33.6538 0.9098 17.9126
142 10.6125 2.42226 2.11912 2.34335 23.7661 2.97936 2.44226 1.54878 34.557 0.916413 18.447
143 10.6875 2.50968 2.14844 2.27827 24.1057 2.80234 2.47569 1.53989 35.4678 0.918648 18.9903
144 10.7625 2.4546 2.17751 2.26309 24.4479 2.71821 2.50857 1.5804 36.4157 0.923252 19.5441
145 10.8375 2.49013 2.20742 2.24557 24.7922 2.56437 2.54002 1.63124 37.4077 0.925594 20.107
146 10.9125 2.65619 2.23976 2.24905 25.1418 2.52756 2.57145 1.65109 38.4258 0.928419 20.6795
147 10.9875 2.83438 2.27475 2.21802 25.4914 2.54936 2.60359 1.63499 39.4479 0.93174 21.2619
148 11.0625 2.98421 2.31209 2.22163 25.8463 2.53814 2.63603 1.63258 40.4824 0.934066 21.8538
149 11.1375 2.73556 2.34679 2.21449 26.2049 2.55795 2.66917 1.62884 41.5286 0.934874 22.4543
150 11.2125 2.62292 2.38051 2.22146 26.5694 2.93483 2.7077 1.63816 42.595 0.937745 23.0647
151 11.2875 2.39948 2.41177 2.21762 26.9383 2.64347 2.74287 1.64017 43.677 0.942264 23.6864
152 11.3625 2.45076 2.44413 2.21557 27.3116 2.7408 2.77982 1.65949 44.7864 0.947713 24.3199
153 11.4375 2.64922 2.47956 2.20086 27.6875 2.7187 2.81696 1.64751 45.9024 0.950512 24.9638
154 11.5125 2.73242 2.51659 2.24061 28.0751 2.91595 2.85732 1.64985 47.0347 0.952474 25.6174
155 11.5875 2.43617 2.55004 2.23405 28.4667 3.03284 2.89985 1.62618 48.1653 0.953455 26.2803
